TAXPAYER_ID,ENTITY_NAME,MAILING_ADDRESS,CITY,STATE,ZIP_CODE,RTB_STATUS,STATE_OF_FORMATION,EffRegDateSOS,SOS_FILE_NO,REGISTERED_AGENT_NAME,REGISTERED_OFFICE_ADDRESS,REG_CITY,REG_ST,REG_ZIP
10107130246,"HOT WELLS, L.P.",215 W TRAVIS ST,SAN ANTONIO,TX,78205-1421,ACTIVE,TX,1/22/02,0800050610,JAMES G. LIFSHUTZ,215 W. TRAVIS,SAN ANTONIO,TX,78205
10107685025,KING WILLIAM TOWNHOMES LP,215 W TRAVIS ST,SAN ANTONIO,TX,78205-1421,ACTIVE,TX,,,,,,,
10207343723,"THE MIRACLE LEAGUE OF SAN ANTONIO, INC.",700 N SAINT MARYS ST STE 1750,SAN ANTONIO,TX,78205-3512,ACTIVE,TX,11/15/04,0800414787,MICHAEL MILLER,"700 N. ST. MARY'S STREET, SUITE 1750",SAN ANTONIO,TX,78205
10435862841,ACCLAIM MEDICAL BILLING INCORPORATED,343 W HOUSTON ST STE 705,SAN ANTONIO,TX,78205-2185,ACTIVE,TX,1/8/02,0800044391,GRACIE PEREZ,"311 CAMDEN ST., STE. 606",SAN ANTONIO,TX,78215
10436113541,"CEWIM, LLC",633 S SAINT MARYS ST UNIT 2507,SAN ANTONIO,TX,78205-3306,ACTIVE,TX,2/15/02,0800058674,KEITH A MICHAL,508 RIVER LAKE DR,KINGSLAND,TX,78639
10437429771,"VISIONWORKS LAB SERVICES, INC.",175 E HOUSTON ST,SAN ANTONIO,TX,78205-2255,ACTIVE,TX,12/28/11,0801526202,C T CORPORATION SYSTEM,"1999 BRYAN ST., STE. 900",DALLAS,TX,75201
10437429896,"VISIONWORKS DISTRIBUTION SERVICES, INC.",175 E HOUSTON ST,SAN ANTONIO,TX,78205-2255,ACTIVE,TX,12/23/11,0801524921,C T CORPORATION SYSTEM,"1999 BRYAN ST., STE. 900",DALLAS,TX,75201
10437578577,"ARTPACE, INC.",445 N MAIN AVE,SAN ANTONIO,TX,78205-1441,ACTIVE,TX,4/28/03,0800199594,VERONIQUE LE MELLE,445 N. MAIN AVENUE,SAN ANTONIO,TX,78205
10506161149,CHAMBER CHOIR OF SAN ANTONIO,106 AUDITORIUM CIR STE 105,SAN ANTONIO,TX,78205-1342,ACTIVE,TX,12/8/04,0800423261,JUDITH YORK,"106 AUDITORIUM CIRCLE, SUITE 105",SAN ANTONIO,TX,78205
11130519918,"DAVIS VISION, INC.",175 E HOUSTON ST,SAN ANTONIO,TX,78205-2255,ACTIVE,NY,9/4/01,0800011114,C T CORPORATION SYSTEM,"1999 BRYAN ST., STE. 900",DALLAS,TX,75201
